id,country,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1087345,United Kingdom,2020-03-01,7.0,2.0,14.0,5.0,1.0,-1.0
1087346,United Kingdom,2020-03-02,4.0,4.0,14.0,0.0,1.0,0.0
1087347,United Kingdom,2020-03-03,2.0,3.0,11.0,-1.0,1.0,0.0
1087348,United Kingdom,2020-03-04,2.0,3.0,2.0,-2.0,1.0,1.0
1087349,United Kingdom,2020-03-05,-1.0,2.0,1.0,-3.0,0.0,1.0
1087350,United Kingdom,2020-03-06,5.0,6.0,22.0,1.0,1.0,0.0
1087351,United Kingdom,2020-03-07,0.0,2.0,7.0,-1.0,1.0,0.0
1087352,United Kingdom,2020-03-08,4.0,2.0,15.0,2.0,1.0,-1.0
1087353,United Kingdom,2020-03-09,0.0,4.0,4.0,-3.0,0.0,1.0
1087354,United Kingdom,2020-03-10,-2.0,5.0,4.0,-4.0,0.0,1.0
1087355,United Kingdom,2020-03-11,0.0,5.0,10.0,-6.0,0.0,1.0
1087356,United Kingdom,2020-03-12,-1.0,11.0,5.0,-8.0,-1.0,2.0
1087357,United Kingdom,2020-03-13,-2.0,11.0,12.0,-9.0,-4.0,2.0
1087358,United Kingdom,2020-03-14,-10.0,7.0,1.0,-15.0,-2.0,2.0
1087359,United Kingdom,2020-03-15,-11.0,7.0,-1.0,-16.0,-4.0,2.0
1087360,United Kingdom,2020-03-16,-3.0,20.0,29.0,-16.0,-9.0,4.0
1087361,United Kingdom,2020-03-17,-15.0,21.0,6.0,-27.0,-16.0,7.0
1087362,United Kingdom,2020-03-18,-21.0,22.0,-3.0,-34.0,-23.0,10.0
1087363,United Kingdom,2020-03-19,-21.0,24.0,2.0,-37.0,-27.0,11.0
1087364,United Kingdom,2020-03-20,-28.0,10.0,6.0,-40.0,-29.0,13.0
1087365,United Kingdom,2020-03-21,-50.0,1.0,2.0,-46.0,-25.0,11.0
1087366,United Kingdom,2020-03-22,-56.0,-14.0,20.0,-46.0,-30.0,9.0
1087367,United Kingdom,2020-03-23,-45.0,-8.0,1.0,-53.0,-45.0,17.0
1087368,United Kingdom,2020-03-24,-71.0,-24.0,-14.0,-64.0,-58.0,24.0
1087369,United Kingdom,2020-03-25,-73.0,-26.0,-12.0,-68.0,-64.0,26.0
1087370,United Kingdom,2020-03-26,-74.0,-28.0,-11.0,-70.0,-66.0,27.0
1087371,United Kingdom,2020-03-27,-76.0,-29.0,-26.0,-71.0,-66.0,28.0
1087372,United Kingdom,2020-03-28,-83.0,-39.0,-54.0,-74.0,-57.0,20.0
1087373,United Kingdom,2020-03-29,-85.0,-46.0,-52.0,-75.0,-55.0,15.0
1087374,United Kingdom,2020-03-30,-74.0,-32.0,-33.0,-73.0,-69.0,27.0
1087375,United Kingdom,2020-03-31,-74.0,-30.0,-21.0,-72.0,-70.0,27.0
1087376,United Kingdom,2020-04-01,-75.0,-32.0,-29.0,-73.0,-69.0,28.0
1087377,United Kingdom,2020-04-02,-75.0,-32.0,-24.0,-73.0,-70.0,29.0
1087378,United Kingdom,2020-04-03,-76.0,-30.0,-25.0,-72.0,-69.0,29.0
1087379,United Kingdom,2020-04-04,-81.0,-36.0,-38.0,-72.0,-57.0,19.0
1087380,United Kingdom,2020-04-05,-82.0,-41.0,-29.0,-70.0,-54.0,15.0
1087381,United Kingdom,2020-04-06,-73.0,-31.0,-20.0,-72.0,-70.0,27.0
1087382,United Kingdom,2020-04-07,-73.0,-29.0,-7.0,-69.0,-70.0,27.0
